Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
saice	129	5.605	1	349	24.72	118.75	2,324.37
teras	144	5.604	1	321	22.15	117.35	2,108.43
trine	145	5.604	1	380	21.99	124.48	2,253.97
laten	144	5.603	1	298	22.15	110.25	1,951.19
siler	133	5.602	1	312	23.98	109.86	2,059.19
cares	136	5.600	1	330	23.45	112.92	2,097.88
caner	143	5.600	1	356	22.30	116.95	2,110.81
tires	140	5.599	1	365	22.78	117.75	2,163.39
adret	134	5.596	1	371	23.80	116.86	2,214.65
trape	142	5.596	1	357	22.46	120.53	2,202.56
taper	137	5.594	1	357	23.28	116.28	2,164.90
porae	129	5.593	1	288	24.72	113.25	2,188.51
peart	159	5.593	1	357	20.06	127.84	2,161.71
coate	125	5.592	1	313	25.51	112.03	2,207.26
seria	128	5.589	1	243	24.91	105.83	2,015.88
oared	129	5.589	1	311	24.72	111.32	2,140.74
liane	133	5.589	1	318	23.98	116.90	2,228.14
nares	119	5.587	1	304	26.80	103.32	2,050.67
sated	139	5.587	1	367	22.94	117.37	2,166.47
react	145	5.587	1	343	21.99	123.39	2,230.06
litre	143	5.586	1	321	22.30	114.95	2,066.04
alien	139	5.585	1	303	22.94	115.60	2,125.68
caser	134	5.584	1	330	23.80	112.79	2,117.97
stale	147	5.583	1	328	21.69	123.26	2,203.33
pareo	130	5.582	1	288	24.53	109.45	2,083.06
realo	116	5.581	1	242	27.49	101.44	2,033.01
deair	132	5.581	1	311	24.16	111.20	2,102.75
reist	145	5.581	1	365	21.99	129.73	2,369.40
alose	127	5.580	1	308	25.11	113.20	2,212.04
ronte	131	5.580	1	342	24.34	115.64	2,222.42
toise	127	5.580	1	355	25.11	120.02	2,383.22
rance	138	5.578	1	356	23.11	120.29	2,245.66
aster	125	5.577	1	321	25.51	107.68	2,096.17
aesir	126	5.575	1	243	25.31	103.62	1,981.96
urate	132	5.574	1	275	24.16	112.31	2,129.56
dares	125	5.574	1	354	25.51	113.35	2,240.97
armet	141	5.570	1	374	22.62	121.69	2,240.76
arsed	133	5.568	1	354	23.98	116.87	2,227.27
liter	142	5.567	1	321	22.46	114.35	2,063.61
raned	148	5.566	1	380	21.55	121.43	2,152.14
rione	129	5.564	1	292	24.72	114.30	2,214.51
olate	120	5.563	1	265	26.58	107.14	2,140.89
oriel	118	5.562	1	262	27.03	104.11	2,083.26
rouet	132	5.562	1	322	24.16	116.24	2,224.71
leant	139	5.561	1	352	22.94	123.20	2,300.04
terai	124	5.560	1	276	25.72	110.82	2,188.67
paler	140	5.560	1	358	22.78	117.88	2,166.33
maire	130	5.559	1	302	24.53	113.69	2,187.19
learn	136	5.559	1	301	23.45	114.97	2,145.97
paren	141	5.559	1	366	22.62	119.31	2,186.90
ramet	139	5.557	1	374	22.94	120.46	2,237.36
tread	146	5.557	1	371	21.84	125.14	2,256.19
tried	150	5.556	1	442	21.26	135.09	2,419.95
palet	147	5.555	1	346	21.69	123.00	2,197.63
rotes	132	5.554	1	330	24.16	113.37	2,155.21
noire	124	5.554	1	292	25.72	114.90	2,293.46
aider	142	5.554	1	311	22.46	118.32	2,152.83
aisle	128	5.554	1	316	24.91	118.77	2,338.39
saute	139	5.551	1	393	22.94	131.92	2,500.20
cared	148	5.549	1	413	21.55	130.03	2,337.61
serai	121	5.547	1	243	26.36	107.94	2,150.08
rased	131	5.547	1	354	24.34	115.34	2,215.11
prase	147	5.547	1	355	21.69	130.47	2,359.76
stire	136	5.546	1	365	23.45	127.21	2,433.07
setal	143	5.545	1	351	22.30	129.59	2,392.64
lader	138	5.544	1	369	23.11	120.24	2,244.53
dealt	139	5.542	1	363	22.94	124.46	2,329.05
cadre	147	5.542	1	413	21.69	129.97	2,348.97
oaten	130	5.541	1	244	24.53	107.69	2,039.88
reals	121	5.540	1	289	26.36	112.99	2,283.22
lacer	140	5.538	1	347	22.78	116.40	2,132.54
sored	129	5.538	1	397	24.72	126.03	2,504.39
marse	135	5.538	1	365	23.62	128.21	2,470.68
roast	137	5.536	1	391	23.28	128.13	2,440.62
stoae	114	5.535	1	295	27.97	111.63	2,340.06
targe	136	5.535	1	380	23.45	126.74	2,422.13
store	131	5.534	1	330	24.34	121.03	2,353.77
reais	122	5.533	1	243	26.14	106.87	2,110.19
alder	137	5.533	1	369	23.28	123.44	2,331.50
aline	138	5.533	1	318	23.11	123.51	2,320.14
alone	128	5.532	1	306	24.91	115.40	2,254.33
hater	135	5.532	1	352	23.62	117.83	2,225.30
lacet	137	5.532	1	330	23.28	119.69	2,244.23
daine	132	5.532	1	355	24.16	123.89	2,409.33
lated	136	5.531	1	363	23.45	122.18	2,315.04
aloes	118	5.529	1	224	27.03	106.49	2,147.45
retia	137	5.529	1	276	23.28	113.61	2,102.65
marle	133	5.529	1	369	23.98	123.61	2,388.82
pares	133	5.528	1	355	23.98	120.64	2,317.68
trice	139	5.527	1	394	22.94	132.12	2,504.73
norie	120	5.526	1	292	26.58	114.99	2,349.69
tinea	130	5.524	1	301	24.53	118.17	2,297.05
arets	132	5.524	1	321	24.16	123.05	2,389.00
thrae	142	5.524	1	352	22.46	125.42	2,312.37
stear	132	5.523	1	321	24.16	123.92	2,410.16
tamer	141	5.522	1	374	22.62	123.01	2,270.52
scrae	130	5.522	1	330	24.53	124.02	2,440.50
stane	135	5.522	1	345	23.62	128.69	2,481.88
lears	125	5.521	1	289	25.51	115.14	2,286.52
rites	138	5.521	1	365	23.11	121.48	2,273.13
tired	141	5.521	1	442	22.62	135.99	2,564.12
aeros	120	5.520	1	238	26.58	106.97	2,136.41
lores	127	5.520	1	300	25.11	110.03	2,132.44
scare	133	5.519	1	330	23.98	126.12	2,449.01
alure	133	5.518	1	272	23.98	114.82	2,178.20
dorse	133	5.518	1	397	23.98	127.09	2,472.41
corse	139	5.512	1	347	22.94	131.36	2,487.36
loser	125	5.511	1	300	25.51	110.05	2,156.63
aloed	127	5.511	1	301	25.11	120.43	2,393.59
roted	141	5.510	1	422	22.62	132.46	2,484.39
noter	125	5.509	1	342	25.51	117.07	2,335.88
sarge	130	5.509	1	358	24.53	128.31	2,545.90
loner	127	5.508	1	303	25.11	114.64	2,248.18
laide	125	5.508	1	345	25.51	119.61	2,400.71
saned	134	5.507	1	363	23.80	122.10	2,339.43
spaer	135	5.507	1	355	23.62	124.55	2,384.16
anile	134	5.507	1	318	23.80	125.34	2,416.62
teals	135	5.507	1	351	23.62	127.56	2,455.29
aures	124	5.506	1	276	25.72	112.13	2,222.23
dearn	140	5.506	1	380	22.78	126.30	2,357.96
sayer	119	5.505	1	265	26.80	109.05	2,204.30
mater	138	5.505	1	374	23.11	123.16	2,312.02
snore	135	5.504	1	314	23.62	123.43	2,357.70
sired	132	5.503	1	409	24.16	129.21	2,538.00
heart	145	5.503	1	352	21.99	134.50	2,474.34
rathe	125	5.502	1	352	25.51	120.87	2,432.89
paise	133	5.502	1	355	23.98	129.08	2,520.05
roles	121	5.501	1	300	26.36	110.59	2,219.93
patel	142	5.501	1	346	22.46	127.06	2,349.09
tased	131	5.500	1	367	24.34	121.27	2,359.61
adore	124	5.499	1	311	25.72	113.87	2,267.20
atone	116	5.497	1	282	27.49	114.47	2,391.25
morae	129	5.497	1	302	24.72	121.47	2,391.61
irade	124	5.496	1	311	25.72	115.06	2,297.80
salue	131	5.496	1	403	24.34	132.52	2,633.51
reans	121	5.495	1	304	26.36	118.72	2,434.25
poire	130	5.495	1	324	24.53	124.57	2,454.16
urase	125	5.494	1	307	25.51	121.69	2,453.67
grate	135	5.494	1	380	23.62	130.13	2,515.97
anole	121	5.493	1	306	26.36	117.06	2,390.53
diane	132	5.493	1	355	24.16	127.15	2,488.13
danse	126	5.492	1	363	25.31	124.20	2,502.86
drole	126	5.492	1	401	25.31	126.64	2,564.58
relit	136	5.491	1	321	23.45	125.36	2,389.64
ailed	144	5.490	1	345	22.15	129.78	2,383.65
porte	135	5.490	1	391	23.62	132.69	2,576.50
citer	142	5.489	1	394	22.46	130.59	2,428.30
rinse	135	5.488	1	347	23.62	128.65	2,481.08
doter	138	5.488	1	422	23.11	133.28	2,545.94
canoe	130	5.487	1	351	24.53	125.59	2,478.96
caste	133	5.487	1	379	23.98	134.30	2,645.27
oilet	128	5.486	1	285	24.91	119.29	2,351.38
share	136	5.486	1	333	23.45	133.32	2,576.23
laers	120	5.485	1	293	26.58	119.61	2,472.51
apter	133	5.485	1	357	23.98	123.49	2,386.02
anise	140	5.484	1	335	22.78	127.93	2,395.10
denar	144	5.484	1	380	22.15	128.14	2,347.39
slade	133	5.484	1	370	23.98	129.62	2,533.13
oiler	120	5.483	1	262	26.58	109.94	2,215.43
nitre	135	5.483	1	380	23.62	128.81	2,484.80
trode	130	5.483	1	422	24.53	129.75	2,581.16
petar	141	5.483	1	357	22.62	132.66	2,488.78
lanes	125	5.481	1	307	25.51	116.71	2,326.63
gater	134	5.481	1	380	23.80	125.11	2,411.12
tolar	134	5.481	1	350	23.80	125.11	2,411.03
spare	142	5.481	1	355	22.46	133.87	2,502.14
nacre	132	5.480	1	356	24.16	124.64	2,427.53
taber	138	5.480	1	390	23.11	128.62	2,438.27
races	120	5.479	1	330	26.58	116.55	2,390.99
potae	129	5.477	1	304	24.72	121.91	2,402.64
route	125	5.474	1	322	25.51	123.30	2,494.86
tride	132	5.474	1	442	24.16	135.11	2,680.54
pared	141	5.474	1	427	22.62	136.21	2,569.14
reoil	114	5.473	1	262	27.97	112.18	2,355.57
haler	127	5.473	1	315	25.11	115.43	2,267.92
todea	123	5.473	1	290	25.93	116.42	2,346.25
liart	130	5.473	1	381	24.53	129.48	2,574.45
ariot	134	5.473	1	349	23.80	132.23	2,580.47
rones	130	5.472	1	314	24.53	119.30	2,324.80
pearl	139	5.472	1	358	22.94	131.72	2,495.64
renal	133	5.471	1	301	23.98	120.01	2,302.68
sitar	135	5.471	1	425	23.62	136.91	2,676.04
carpe	152	5.471	1	401	20.98	139.70	2,490.82
ramse	129	5.470	1	365	24.72	130.18	2,607.02
ramie	126	5.468	1	302	25.31	119.63	2,387.25
tenor	132	5.468	1	342	24.16	126.90	2,482.03
niter	132	5.466	1	380	24.16	126.79	2,479.51
riles	127	5.465	1	312	25.11	115.99	2,281.89
sabre	128	5.464	1	375	24.91	131.95	2,666.70
padre	137	5.464	1	427	23.28	135.68	2,616.39
sager	128	5.463	1	358	24.91	122.64	2,434.69
earls	116	5.462	1	293	27.49	118.47	2,501.18
teary	136	5.462	1	334	23.45	126.78	2,423.07
serac	124	5.462	1	330	25.72	128.41	2,640.93
cadet	133	5.461	1	379	23.98	128.65	2,509.83
plate	137	5.461	1	346	23.28	134.95	2,599.35
arpen	127	5.459	1	366	25.11	126.04	2,534.44
solar	125	5.459	1	359	25.51	126.16	2,567.69
taels	129	5.459	1	404	24.72	134.96	2,725.10
crise	126	5.459	1	371	25.31	135.88	2,798.47
leats	134	5.457	1	351	23.80	130.19	2,531.95
resit	138	5.457	1	365	23.11	134.58	2,575.86
trail	135	5.456	1	381	23.62	129.48	2,500.62
nates	121	5.455	1	327	26.36	120.48	2,480.81
ruote	123	5.455	1	322	25.93	124.35	2,551.74
senor	132	5.455	1	318	24.16	124.57	2,425.91
cates	129	5.455	1	344	24.72	127.56	2,542.15
irone	121	5.454	1	292	26.36	120.56	2,482.86
toles	126	5.454	1	314	25.31	121.05	2,423.04
liner	130	5.454	1	327	24.53	123.06	2,416.99
sarod	124	5.452	1	378	25.72	127.37	2,614.25
laned	134	5.451	1	400	23.80	132.33	2,582.89
dears	122	5.450	1	354	26.14	124.99	2,583.92
salep	140	5.449	1	369	22.78	133.62	2,524.89
slart	137	5.449	1	427	23.28	144.41	2,819.60
dates	128	5.448	1	367	24.91	123.72	2,461.75
troad	132	5.448	1	382	24.16	134.34	2,661.85
drone	135	5.448	1	423	23.62	135.45	2,641.66
arsey	116	5.447	1	265	27.49	111.86	2,319.37
neral	127	5.447	1	301	25.11	118.18	2,336.98
silen	133	5.446	1	378	23.98	136.37	2,694.92
hares	123	5.445	1	333	25.93	120.71	2,457.35
serin	134	5.445	1	347	23.80	132.18	2,579.33
crone	138	5.444	1	377	23.11	138.37	2,663.65
saber	125	5.443	1	375	25.51	126.13	2,567.02
haole	117	5.442	1	344	27.26	120.62	2,544.65
riant	132	5.441	1	438	24.16	141.63	2,838.06
naieo	114	5.440	1	243	27.97	108.74	2,259.24
cores	133	5.440	1	347	23.98	129.44	2,528.70
lance	135	5.440	1	369	23.62	137.94	2,700.37
risen	132	5.439	1	347	24.16	126.30	2,467.63
seron	135	5.439	1	318	23.62	129.90	2,510.41
sider	135	5.438	1	409	23.62	134.43	2,617.44
repat	143	5.438	1	357	22.30	135.13	2,516.15
roule	120	5.437	1	302	26.58	124.09	2,591.36
paten	136	5.437	1	355	23.45	131.52	2,534.01
sonar	127	5.437	1	387	25.11	133.95	2,733.01
maile	131	5.436	1	351	24.34	132.36	2,629.46
toper	130	5.436	1	391	24.53	132.61	2,651.28
saree	122	5.436	1	442	26.14	134.14	2,822.96
rayle	117	5.434	1	272	27.26	115.66	2,409.64
arced	138	5.434	1	413	23.11	138.67	2,670.55
nears	117	5.432	1	304	27.26	121.64	2,572.64
mares	122	5.431	1	365	26.14	126.48	2,622.82
rouse	124	5.431	1	344	25.72	131.20	2,712.80
clear	140	5.430	1	347	22.78	136.58	2,592.34
large	135	5.429	1	376	23.62	132.01	2,560.46
claes	128	5.429	1	348	24.91	132.21	2,673.19
rapes	122	5.428	1	355	26.14	124.30	2,565.92
lased	123	5.428	1	370	25.93	126.61	2,610.49
raced	140	5.428	1	413	22.78	135.74	2,573.20
loure	124	5.427	1	302	25.72	125.73	2,572.15
telia	128	5.427	1	295	24.91	126.49	2,530.70
naice	122	5.427	1	355	26.14	131.09	2,743.45
toled	129	5.427	1	391	24.72	133.56	2,690.64
earns	113	5.425	1	312	28.22	124.04	2,704.07
dales	129	5.425	1	370	24.72	127.31	2,536.19
tripe	135	5.425	1	425	23.62	142.13	2,799.44
cries	126	5.424	1	371	25.31	130.16	2,653.69
crape	145	5.424	1	401	21.99	145.30	2,711.97
triad	136	5.423	1	415	23.45	140.57	2,746.34
tiles	136	5.422	1	393	23.45	134.37	2,600.92
noser	126	5.421	1	314	25.31	120.69	2,413.91
trope	131	5.421	1	391	24.34	135.78	2,712.70
stile	133	5.421	1	393	23.98	144.92	2,899.93
crine	135	5.420	1	400	23.62	144.66	2,859.14
solei	118	5.419	1	261	27.03	117.85	2,454.53
antes	126	5.419	1	327	25.31	125.62	2,538.86
laden	132	5.419	1	400	24.16	134.08	2,655.63
prole	122	5.418	1	381	26.14	134.39	2,829.60
caper	141	5.418	1	401	22.62	138.29	2,616.22
layer	124	5.417	1	272	25.72	114.35	2,279.36
poler	133	5.417	1	381	23.98	132.93	2,612.38
acres	121	5.416	1	330	26.36	121.10	2,497.11
rines	127	5.416	1	347	25.11	126.29	2,540.52
ceria	126	5.416	1	288	25.31	127.91	2,596.79
blaer	131	5.416	1	394	24.34	133.10	2,647.54
aimer	127	5.415	1	302	25.11	123.00	2,457.94
dores	125	5.415	1	397	25.51	134.14	2,771.19
drape	129	5.415	1	427	24.72	138.55	2,813.89
train	142	5.415	1	438	22.46	144.14	2,732.64
soral	124	5.414	1	359	25.72	130.59	2,697.01
glare	132	5.414	1	376	24.16	136.61	2,716.65
thale	136	5.414	1	347	23.45	137.94	2,684.56
orles	109	5.413	1	300	29.26	113.13	2,453.75
ursae	116	5.413	1	307	27.49	123.97	2,652.25
urite	126	5.413	1	343	25.31	131.53	2,688.39
scale	135	5.413	1	388	23.62	142.36	2,804.81
cruet	148	5.413	1	422	21.55	144.28	2,644.48
oread	129	5.412	1	311	24.72	127.15	2,532.23
maser	128	5.412	1	365	24.91	127.53	2,556.58
baler	138	5.412	1	394	23.11	133.50	2,550.98
acoel	116	5.411	1	268	27.49	121.01	2,570.99
maise	125	5.411	1	363	25.51	132.24	2,722.97
lotes	125	5.410	1	314	25.51	123.53	2,500.54
taros	136	5.410	1	391	23.45	133.48	2,580.00
rayne	113	5.409	1	274	28.22	119.07	2,563.91
lamer	130	5.409	1	369	24.53	127.71	2,531.05
cires	129	5.409	1	371	24.72	130.85	2,623.67
tapen	128	5.409	1	355	24.91	131.54	2,656.53
soled	128	5.409	1	382	24.91	133.48	2,704.73
trial	132	5.409	1	381	24.16	133.68	2,646.04
panel	132	5.409	1	378	24.16	134.22	2,658.92
sorta	127	5.409	1	391	25.11	139.23	2,865.48
stole	126	5.408	1	356	25.31	133.61	2,741.15
plier	132	5.408	1	392	24.16	137.74	2,744.09
toran	138	5.408	1	377	23.11	139.42	2,687.73
aurei	106	5.407	1	263	30.09	111.43	2,447.21
taces	118	5.407	1	344	27.03	128.51	2,742.74
tones	128	5.407	1	332	24.91	131.85	2,664.23
curet	147	5.407	1	422	21.69	146.05	2,697.83
blare	139	5.406	1	394	22.94	138.61	2,653.69
lande	126	5.405	1	400	25.31	134.07	2,752.69
cadie	128	5.405	1	359	24.91	135.67	2,759.41
orant	129	5.405	1	377	24.72	135.95	2,749.80
dries	128	5.405	1	409	24.91	135.96	2,766.48
doner	139	5.405	1	423	22.94	145.02	2,800.82
paste	138	5.405	1	381	23.11	145.84	2,836.11
moire	122	5.402	1	331	26.14	131.78	2,761.46
rosed	125	5.402	1	397	25.51	134.09	2,770.03
sarin	133	5.400	1	415	23.98	137.16	2,713.84
larnt	113	5.399	1	392	28.22	133.97	2,984.49
dolie	134	5.399	1	364	23.80	135.74	2,664.09
lapse	140	5.399	1	387	22.78	145.43	2,793.73
tesla	123	5.398	1	351	25.93	132.68	2,767.86
ceorl	132	5.398	1	358	24.16	137.50	2,738.18
coset	123	5.397	1	350	25.93	136.52	2,867.29
satem	128	5.397	1	381	24.91	138.77	2,836.73
cored	141	5.397	1	472	22.62	154.43	2,981.13
gares	124	5.396	1	358	25.72	126.62	2,594.86
doser	126	5.396	1	397	25.31	134.81	2,771.52
noise	121	5.396	1	421	26.36	136.56	2,904.58
brane	131	5.396	1	403	24.34	137.55	2,755.81
baile	134	5.396	1	351	23.80	138.76	2,735.94
rimae	120	5.395	1	302	26.58	125.01	2,615.86
pacer	133	5.395	1	401	23.98	139.11	2,760.47
pilae	129	5.395	1	334	24.72	140.26	2,856.29
plore	130	5.394	1	381	24.53	138.17	2,787.73
riled	143	5.394	1	404	22.30	141.94	2,667.93
cedar	139	5.394	1	413	22.94	142.34	2,739.16
sited	136	5.394	1	469	23.45	148.94	2,942.61
spate	141	5.393	1	381	22.62	151.86	2,923.04
manet	122	5.392	1	364	26.14	134.95	2,844.33
anted	132	5.392	1	372	24.16	135.28	2,684.65
rouen	122	5.391	1	333	26.14	131.77	2,761.17
samel	120	5.391	1	374	26.58	136.87	2,930.99
laird	126	5.390	1	382	25.31	135.43	2,786.99
halse	134	5.390	1	405	23.80	143.77	2,855.22
ayrie	104	5.389	1	247	30.66	110.70	2,454.32
hared	136	5.389	1	397	23.45	134.67	2,608.03
throe	138	5.389	1	389	23.11	140.46	2,711.76
pates	132	5.388	1	375	24.16	138.25	2,756.42
loast	125	5.388	1	432	25.51	143.61	3,012.83
apres	121	5.387	1	355	26.36	128.75	2,698.53
trues	132	5.387	1	405	24.16	138.63	2,765.47
bares	129	5.386	1	375	24.72	130.61	2,617.71
acred	129	5.386	1	413	24.72	140.25	2,855.91
royet	113	5.385	1	296	28.22	122.83	2,670.10
rotal	136	5.385	1	350	23.45	131.66	2,537.41
naled	128	5.385	1	400	24.91	134.87	2,739.34
argle	135	5.385	1	376	23.62	137.06	2,679.58
raits	124	5.384	1	425	25.72	137.10	2,864.62
cried	146	5.384	1	473	21.84	155.56	2,920.82
tuner	132	5.383	1	384	24.16	136.48	2,713.66
redan	139	5.383	1	380	22.94	136.83	2,612.92
prise	133	5.383	1	408	23.98	147.95	2,972.47
lades	124	5.382	1	370	25.72	129.37	2,665.69
stair	128	5.381	1	425	24.91	142.52	2,929.94
tiers	128	5.381	1	365	24.91	144.46	2,978.41
toned	134	5.381	1	426	23.80	145.01	2,884.62
tuile	132	5.381	1	402	24.16	146.38	2,952.71
toeas	113	5.380	1	338	28.22	126.96	2,786.46
faire	130	5.380	1	326	24.53	127.53	2,526.77
lager	135	5.380	1	376	23.62	131.17	2,540.59
retin	142	5.380	1	380	22.46	143.83	2,725.74
roist	131	5.380	1	463	24.34	147.57	2,999.81
saint	136	5.380	1	540	23.45	165.67	3,334.95
reads	121	5.379	1	354	26.36	128.34	2,687.85
ramen	133	5.379	1	373	23.98	131.69	2,582.58
lites	130	5.379	1	393	24.53	136.83	2,754.86
plane	136	5.378	1	378	23.45	144.00	2,826.78
canes	121	5.377	1	343	26.36	133.34	2,819.70
stade	123	5.377	1	367	25.93	133.42	2,786.83
ordie	129	5.377	1	359	24.72	134.65	2,717.60
horse	137	5.377	1	377	23.28	145.61	2,847.50
tiled	140	5.377	1	451	22.78	148.19	2,856.74
shale	139	5.377	1	405	22.94	149.81	2,910.63
osier	109	5.376	1	251	29.26	116.17	2,542.80
pears	131	5.376	1	355	24.34	141.96	2,863.23
leirs	116	5.375	1	312	27.49	128.38	2,773.51
prose	132	5.375	1	381	24.16	144.22	2,900.54
table	133	5.375	1	386	23.98	144.62	2,892.70
uraei	99	5.374	1	232	32.21	108.76	2,465.88
toras	127	5.374	1	391	25.11	137.90	2,832.30
shier	127	5.374	1	390	25.11	139.70	2,877.34
shoer	131	5.373	1	377	24.34	138.18	2,771.10
eatin	129	5.373	1	400	24.72	140.48	2,861.69
sauce	127	5.373	1	450	25.11	150.73	3,154.40
ocrea	122	5.372	1	279	26.14	121.58	2,494.84
amore	128	5.372	1	302	24.91	127.81	2,563.55
pores	130	5.372	1	381	24.53	139.41	2,818.05
leans	118	5.371	1	360	27.03	134.45	2,903.26
spale	139	5.371	1	387	22.94	150.94	2,936.53
tenia	130	5.370	1	328	24.53	138.53	2,796.40
scire	122	5.370	1	371	26.14	139.57	2,964.89
neato	111	5.369	1	288	28.73	122.23	2,686.36
luter	133	5.369	1	330	23.98	130.84	2,562.40
suite	134	5.369	1	455	23.80	164.31	3,344.04
poser	135	5.368	1	381	23.62	139.33	2,733.39
siled	130	5.368	1	445	24.53	146.02	2,980.20
outre	133	5.367	1	322	23.98	134.80	2,657.36
clote	118	5.367	1	372	27.03	140.30	3,061.19
raped	134	5.367	1	427	23.80	141.97	2,812.34
riato	124	5.366	1	299	25.72	128.16	2,634.51
outer	128	5.366	1	322	24.91	129.51	2,605.89
baser	130	5.366	1	375	24.53	131.31	2,619.26
braes	125	5.366	1	375	25.51	132.96	2,741.19
toyer	114	5.365	1	296	27.97	124.84	2,709.66
piler	133	5.365	1	392	23.98	140.64	2,797.26
apert	135	5.365	1	357	23.62	142.70	2,812.80
slice	132	5.365	1	423	24.16	156.65	3,200.80
rames	119	5.364	1	365	26.80	128.97	2,738.09
redia	134	5.364	1	311	23.80	129.85	2,523.79
score	128	5.364	1	347	24.91	137.04	2,793.47
ronde	133	5.364	1	423	23.98	142.07	2,831.62
prone	131	5.364	1	396	24.34	143.45	2,899.48
